Disease,Foods_to_Eat,Foods_to_Avoid
Diabetes,"Whole grains,Leafy greens,Berries,Nuts,Lean proteins,Legumes","Sugar,White bread,Fried foods,Processed snacks,Sugary drinks"
Hypertension,"Fruits,Vegetables,Whole grains,Lean protein,Low-fat dairy,Nuts","Salty foods,Processed meats,Fast food,Canned soups,Pickles"
Bronchial Asthma,"Fruits,Vegetables,Omega-3 rich fish,Nuts,Whole grains","Sulfite-containing foods,Processed foods,Excessive dairy,Fried foods"
Heart attack,"Leafy greens,Whole grains,Berries,Fatty fish,Nuts,Olive oil","Trans fats,Saturated fats,Processed meats,Excessive salt,Sugary foods"
GERD,"Oatmeal,Ginger,Aloe vera,Lean meats,Vegetables,Non-citrus fruits","Fatty foods,Spicy foods,Chocolate,Caffeine,Alcohol,Citrus fruits"
Chronic cholestasis,"Fruits,Vegetables,Whole grains,Lean proteins","Fatty foods,Fried foods,Processed foods,Alcohol"
Peptic ulcer disease,"Fiber-rich foods,Probiotic yogurt,Leafy greens,Whole grains","Spicy foods,Acidic foods,Alcohol,Caffeine,Fried foods"
Gastroenteritis,"Bananas,Rice,Applesauce,Toast,Clear broths,Electrolyte drinks","Dairy products,Fatty foods,Spicy foods,Caffeine,Alcohol"
Hypothyroidism,"Seafood,Eggs,Dairy,Nuts,Whole grains,Lean meats","Soy products,Cruciferous vegetables (excess),Processed foods,Excessive fiber"
Hyperthyroidism,"Berries,Green tea,Leafy greens,Whole grains,Lean proteins","Iodine-rich foods,Caffeine,Sugary foods,Processed foods"
Osteoarthristis,"Fatty fish,Nuts,Olive oil,Berries,Leafy greens,Whole grains","Processed foods,Sugary foods,Red meat,Fried foods,Alcohol"
Arthritis,"Fatty fish,Nuts,Olive oil,Berries,Leafy greens,Green tea","Processed foods,Sugary foods,Red meat,Fried foods,Alcohol"
Migraine,"Water,Magnesium-rich foods,Fatty fish,Seeds,Leafy greens","Aged cheeses,Processed meats,Alcohol,Chocolate,Artificial sweeteners"
Cervical spondylosis,"Anti-inflammatory foods,Fatty fish,Nuts,Fruits,Vegetables","Processed foods,Excessive salt,Fried foods,Sugary foods"
Varicose veins,"Fiber-rich foods,Berries,Citrus fruits,Leafy greens,Whole grains","Salty foods,Processed foods,Alcohol,Refined carbohydrates"
Psoriasis,"Fatty fish,Fruits,Vegetables,Whole grains,Lean proteins","Red meat,Dairy,Processed foods,Sugary foods,Alcohol,Nightshades"
Acne,"Fruits,Vegetables,Whole grains,Lean proteins,Water","Dairy products,Sugary foods,Fried foods,Processed foods,High-glycemic foods"
Common Cold,"Warm soups,Citrus fruits,Ginger tea,Honey,Garlic,Leafy greens","Dairy products,Sugary foods,Processed foods,Alcohol"
Pneumonia,"Fruits,Vegetables,Lean proteins,Whole grains,Fluids","Processed foods,Sugary foods,Alcohol,Fried foods"
Tuberculosis,"Protein-rich foods,Fruits,Vegetables,Whole grains,Dairy","Alcohol,Processed foods,Sugary foods,Fried foods"
Hepatitis A,"Fruits,Vegetables,Whole grains,Lean proteins,Plenty of fluids","Alcohol,Fatty foods,Fried foods,Processed foods"
Hepatitis B,"Fruits,Vegetables,Whole grains,Lean proteins,Plenty of water","Alcohol,Fatty foods,Fried foods,Processed foods,Excessive salt"
Hepatitis C,"Fruits,Vegetables,Whole grains,Lean proteins,Green tea","Alcohol,Fatty foods,Processed foods,High-iron foods,Sugary foods"
Alcoholic hepatitis,"Fruits,Vegetables,Whole grains,Lean proteins,Fluids","Alcohol,Fatty foods,Salty foods,Processed foods"
Malaria,"Fruits,Vegetables,Whole grains,Protein-rich foods,Fluids","Fatty foods,Fried foods,Processed foods,Excessive fiber"
Dengue,"Papaya leaves,Coconut water,Pomegranate,Vitamin C-rich fruits,Fluids","Oily foods,Spicy foods,Caffeine,Aspirin-containing foods"
Typhoid,"Boiled vegetables,Yogurt,Eggs,Bananas,Fluids,Soft foods","Raw vegetables,Spicy foods,High-fiber foods,Fatty foods"
Chicken pox,"Fruits,Vegetables,Whole grains,Protein-rich foods,Fluids","Spicy foods,Acidic foods,Salty foods,Fried foods"
Urinary tract infection,"Water,Cranberry juice,Probiotic yogurt,Vitamin C-rich foods,Blueberries","Caffeine,Alcohol,Spicy foods,Citrus fruits,Artificial sweeteners"
Fungal infection,"Probiotic foods,Garlic,Coconut oil,Leafy greens,Lean proteins","Sugar,Refined carbohydrates,Alcohol,Processed foods,Yeast-containing foods"
Allergy,"Anti-inflammatory foods,Omega-3 rich fish,Fruits,Vegetables,Green tea","Trigger foods (varies),Processed foods,Alcohol,High-histamine foods"
Drug Reaction,"Bland foods,Fruits,Vegetables,Whole grains,Plenty of water","Trigger medications,Alcohol,Processed foods"
AIDS,"High-protein foods,Fruits,Vegetables,Whole grains,Fluids","Raw or undercooked foods,Unpasteurized dairy,Alcohol,Processed foods"
Jaundice,"Fruits,Vegetables,Whole grains,Lean proteins,Plenty of water","Fatty foods,Fried foods,Alcohol,Processed foods,Red meat"
Paralysis (brain hemorrhage),"Fruits,Vegetables,Whole grains,Lean proteins,Omega-3 fish","Salty foods,Fatty foods,Processed foods,Alcohol,Sugary foods"
Dimorphic hemmorhoids(piles),"High-fiber foods,Fruits,Vegetables,Whole grains,Fluids","Spicy foods,Alcohol,Caffeine,Processed foods,Low-fiber foods"
Hypoglycemia,"Complex carbohydrates,Proteins,Healthy fats,Fiber-rich foods","Simple sugars,Refined carbohydrates,Alcohol,Caffeine"
Impetigo,"Protein-rich foods,Fruits,Vegetables,Whole grains,Fluids","Sugary foods,Processed foods,Fried foods,Excessive salt"
Paroxysmal Positional Vertigo,"Hydrating foods,Ginger,Fruits,Vegetables,Whole grains","Alcohol,Caffeine,High-sodium foods,Processed foods"
